Verjetnost,Radij,Okuženi,Preboleli,Koraki
0.06,0.06,0,2000,62
0.06,0.06,0,2000,65
0.06,0.06,0,1998,70
0.06,0.06,0,2000,82
0.06,0.06,0,2000,64
0.06,0.06,0,2000,70
0.06,0.06,0,2000,65
0.06,0.06,0,2000,64
0.06,0.06,0,2000,69
0.06,0.06,0,2000,69
0.06,0.06,0,2000,80
0.06,0.06,0,2000,68
0.06,0.06,0,1999,71
0.06,0.06,0,2000,77
0.06,0.06,0,2000,58
0.06,0.06,0,2000,68
0.06,0.06,0,2000,73
0.06,0.06,0,2000,76
0.06,0.06,0,2000,60
0.06,0.06,0,2000,63
0.08,0.06,0,2000,65
0.08,0.06,0,2000,64
0.08,0.06,0,2000,57
0.08,0.06,0,2000,52
0.08,0.06,0,2000,79
0.08,0.06,0,2000,61
0.08,0.06,0,2000,68
0.08,0.06,0,2000,47
0.08,0.06,0,2000,50
0.08,0.06,0,2000,66
0.08,0.06,0,2000,64
0.08,0.06,0,2000,55
0.08,0.06,0,1999,58
0.08,0.06,0,2000,59
0.08,0.06,0,2000,63
0.08,0.06,0,2000,61
0.08,0.06,0,2000,67
0.08,0.06,0,2000,55
0.08,0.06,0,1999,52
0.08,0.06,0,2000,60
0.08,0.06,0,1999,53
0.08,0.06,0,2000,53
0.08,0.06,0,2000,57
0.08,0.06,0,2000,61
0.08,0.06,0,2000,58
0.08,0.06,0,2000,60
0.08,0.06,0,2000,57
0.08,0.06,0,2000,59
0.08,0.06,0,2000,58
0.08,0.06,0,2000,68
0.08,0.06,0,1999,52
0.08,0.06,0,2000,54
0.08,0.06,0,2000,64
0.08,0.06,0,2000,58
0.08,0.06,0,2000,51
0.08,0.06,0,2000,70
0.08,0.06,0,2000,61
0.08,0.06,0,2000,67
0.08,0.06,0,2000,47
0.08,0.06,0,2000,56
0.08,0.06,0,2000,54
0.08,0.06,0,2000,49
0.08,0.06,0,2000,65
0.08,0.06,0,2000,66
0.08,0.06,0,2000,65
0.08,0.06,0,1999,63
0.08,0.06,0,2000,69
0.08,0.06,0,1999,67
0.08,0.06,0,2000,57
0.08,0.06,0,2000,54
0.08,0.06,0,2000,59
0.08,0.06,0,1999,56
0.08,0.06,0,2000,64
0.08,0.06,0,2000,63
0.08,0.06,0,2000,55
0.08,0.06,0,2000,55
0.08,0.06,0,2000,62
0.08,0.06,0,2000,52
0.08,0.06,0,2000,61
0.08,0.06,0,2000,53
0.08,0.06,0,2000,59
0.08,0.06,0,2000,65
0.08,0.06,0,2000,64
0.08,0.06,0,2000,61
0.08,0.06,0,2000,65
0.08,0.06,0,2000,53
0.08,0.06,0,1999,59
0.08,0.06,0,2000,60
0.08,0.06,0,2000,52
0.08,0.06,0,2000,53
0.08,0.06,0,2000,76
0.08,0.06,0,2000,60
0.08,0.06,0,1999,56
0.08,0.06,0,2000,66
0.08,0.06,0,2000,61
0.08,0.06,0,2000,57
0.08,0.06,0,2000,54
0.08,0.06,0,2000,56
0.08,0.06,0,2000,61
0.08,0.06,0,2000,62
0.08,0.06,0,2000,58
0.08,0.06,0,2000,64
0.08,0.06,0,2000,48
0.08,0.06,0,2000,63
0.08,0.06,0,2000,64
0.08,0.06,0,1998,57
0.08,0.06,0,2000,63
0.08,0.06,0,2000,53
0.08,0.06,0,2000,51
0.08,0.06,0,2000,49
0.08,0.06,0,2000,68
0.08,0.06,0,2000,63
0.08,0.06,0,2000,53
0.08,0.06,0,2000,66
0.08,0.06,0,2000,60
0.08,0.06,0,2000,61
0.08,0.06,0,2000,59
0.08,0.06,0,2000,68
0.08,0.06,0,2000,49
0.08,0.06,0,2000,59
0.1,0.06,0,2000,62
0.1,0.06,0,2000,55
0.1,0.06,0,2000,51
0.1,0.06,0,2000,55
0.1,0.06,0,2000,57
0.1,0.06,0,2000,55
0.1,0.06,0,2000,58
0.1,0.06,0,2000,53
0.1,0.06,0,2000,48
0.1,0.06,0,2000,57
0.1,0.06,0,2000,57
0.1,0.06,0,2000,52
0.1,0.06,0,2000,49
0.1,0.06,0,2000,53
0.1,0.06,0,2000,58
0.1,0.06,0,2000,51
0.1,0.06,0,2000,55
0.1,0.06,0,2000,52
0.1,0.06,0,2000,62
0.1,0.06,0,2000,59
0.1,0.06,0,2000,58
0.1,0.06,0,2000,56
0.1,0.06,0,2000,51
0.1,0.06,0,2000,54
0.1,0.06,0,2000,58
0.1,0.06,0,2000,47
0.1,0.06,0,2000,52
0.1,0.06,0,2000,57
0.1,0.06,0,2000,54
0.1,0.06,0,2000,46
0.1,0.06,0,2000,47
0.1,0.06,0,2000,57
0.1,0.06,0,2000,55
0.1,0.06,0,2000,57
0.1,0.06,0,2000,54
0.1,0.06,0,2000,51
0.1,0.06,0,2000,50
0.1,0.06,0,2000,60
0.1,0.06,0,2000,59
0.1,0.06,0,2000,51
0.1,0.06,0,2000,51
0.1,0.06,0,2000,57
0.1,0.06,0,2000,59
0.1,0.06,0,2000,61
0.1,0.06,0,2000,50
0.1,0.06,0,2000,54
0.1,0.06,0,2000,53
0.1,0.06,0,2000,49
0.1,0.06,0,2000,52
0.1,0.06,0,2000,56
0.1,0.06,0,2000,50
0.1,0.06,0,2000,52
